Date,LTC,LTC_fc,LTC_lb,LTC_ub,BTC,ETH
01/04/2016,3.23,3.26,3.253,3.261,416.8,11.62
02/04/2016,3.27,3.25,3.242,3.254,420.31,11.61
03/04/2016,3.24,3.24,3.234,3.25,420.65,11.75
04/04/2016,3.25,3.24,3.225,3.245,420.54,11.15
05/04/2016,3.26,3.23,3.217,3.241,424.53,10.4
06/04/2016,3.25,3.26,3.244,3.272,422.85,10.76
07/04/2016,3.23,3.31,3.295,3.327,421.26,10.12
08/04/2016,3.23,3.21,3.195,3.231,418.24,9.71
09/04/2016,3.23,3.12,3.104,3.144,418.37,9.15
10/04/2016,3.23,3.21,3.188,3.232,420.75,8.76
11/04/2016,3.23,3.15,3.127,3.175,423.01,8.68
12/04/2016,3.26,3.31,3.283,3.335,426.65,7.53
13/04/2016,3.25,3.23,3.206,3.262,424.95,8.09
14/04/2016,3.26,3.19,3.158,3.218,425.81,8.46
15/04/2016,3.3,3.37,3.334,3.398,431.49,8.32
16/04/2016,3.31,3.43,3.394,3.462,431.99,8.54
17/04/2016,3.28,3.37,3.337,3.409,428.8,9.46
18/04/2016,3.25,3.18,3.139,3.215,429.55,8.97
19/04/2016,3.3,3.33,3.292,3.372,437.73,8.71
20/04/2016,3.31,3.23,3.185,3.269,443.56,8.61
21/04/2016,3.37,3.31,3.267,3.355,451.99,8.11
22/04/2016,3.33,3.2,3.154,3.246,447.69,7.97
23/04/2016,3.36,3.3,3.251,3.347,452.52,8.46
24/04/2016,3.69,3.72,3.671,3.771,463.93,8.1
25/04/2016,3.88,4.06,4.007,4.111,466.43,7.54
26/04/2016,4.05,4.09,4.033,4.141,468.07,7.5
27/04/2016,3.94,4.09,4.034,4.146,447.52,7.8
28/04/2016,3.83,3.85,3.794,3.91,450.59,7.33
29/04/2016,3.83,3.81,3.746,3.866,455.41,7.52
30/04/2016,3.65,3.69,3.625,3.749,445.08,8.87
01/05/2016,3.7,3.81,3.743,3.871,450.04,8.75
02/05/2016,3.68,3.63,3.562,3.694,443.98,10
03/05/2016,3.75,3.88,3.81,3.946,451.1,9.34
04/05/2016,3.73,3.71,3.642,3.782,447.09,9.46
05/05/2016,3.72,3.58,3.505,3.649,449.01,9.79
06/05/2016,3.84,3.79,3.712,3.86,462.79,9.35
07/05/2016,3.99,3.98,3.9,4.052,460.4,9.35
08/05/2016,3.97,3.89,3.809,3.965,459.82,9.5
09/05/2016,4.09,4.15,4.07,4.23,461.86,9.32
10/05/2016,3.8,3.7,3.622,3.786,448.99,9.38
11/05/2016,3.88,3.81,3.73,3.898,452.23,9.89
12/05/2016,3.84,3.69,3.602,3.774,454.01,10.04
13/05/2016,3.97,3.96,3.867,4.043,456.24,10.6
14/05/2016,4.04,4.08,3.989,4.169,455.68,10.16
15/05/2016,4.09,4.04,3.95,4.134,457.97,9.97
16/05/2016,4.02,4.1,4.004,4.192,454.47,11.09
17/05/2016,3.97,4.12,4.029,4.221,452.45,12.08
18/05/2016,4.01,3.75,3.652,3.848,453.58,13.35
19/05/2016,3.86,3.82,3.721,3.921,440.33,14.58
20/05/2016,3.84,3.99,3.884,4.088,439.76,13.79
21/05/2016,3.94,4.12,4.014,4.222,440.82,14
22/05/2016,3.89,3.93,3.819,4.031,437.39,14.21
23/05/2016,3.96,3.85,3.743,3.959,442.97,13.42
24/05/2016,3.95,3.76,3.645,3.865,445.14,12.73
25/05/2016,4.03,4.1,3.992,4.216,448.27,12.49
26/05/2016,4.11,4.37,4.26,4.488,453.63,12.48
27/05/2016,4.47,4.29,4.172,4.404,473.94,11.12
28/05/2016,4.58,4.53,4.412,4.648,531.74,11.98
29/05/2016,4.51,4.36,4.239,4.479,527.11,12.41
30/05/2016,4.57,4.5,4.377,4.621,535.12,12.72
31/05/2016,4.64,4.46,4.34,4.588,530.3,14.01
01/06/2016,4.72,4.63,4.502,4.754,540.4,13.85
02/06/2016,4.74,4.73,4.597,4.853,539,13.8
03/06/2016,4.89,4.57,4.437,4.697,569.1,13.84
