"","Date","LTC","BTC","ETH"
"1",2019-06-30,122.61,10805,290.8
"2",2019-06-29,134.03,11920,317.42
"3",2019-06-28,119.3,12338,308.87
"4",2019-06-27,114.63,11198.92,294.86
"5",2019-06-26,130.01,12876,332
"6",2019-06-25,135.5,11737,316.49
"7",2019-06-24,135.72,11069,311.7
"8",2019-06-23,137.46,10913,308.56
"9",2019-06-22,142.55,10744,311.25
"10",2019-06-21,139.19,10213.04,295.83
"11",2019-06-20,135.98,9557.1,272.82
"12",2019-06-19,137.02,9305.9,269.52
"13",2019-06-18,135.26,9095,264.87
"14",2019-06-17,134.37,9354.3,274
"15",2019-06-16,137.01,8985.9,268.63
"16",2019-06-15,138.33,8856,269.12
"17",2019-06-14,132.49,8689.1,263.69
"18",2019-06-13,130.79,8227.4,254.61
"19",2019-06-12,136.15,8174,262.75
"20",2019-06-11,136.02,7905.5,245.1
"21",2019-06-10,129.8,8018.8,248.11
"22",2019-06-09,114.91,7633.3,231.3
"23",2019-06-08,118.44,7924,244.36
"24",2019-06-07,117.01,7999.4,249.69
"25",2019-06-06,111.29,7824.7,250
"26",2019-06-05,103.98,7789.3,246.26
"27",2019-06-04,102.27,7692.9,241.44
"28",2019-06-03,105.82,8099.2,249.38
"29",2019-06-02,114.62,8740.1,269.4
"30",2019-06-01,112.25,8547,264.37
"31",2019-05-31,114.29,8532.67,267.13
"32",2019-05-30,107.8,8270,254.31
"33",2019-05-29,115.59,8678.1,270.25
"34",2019-05-28,114.95,8738.1,272.12
"35",2019-05-27,117.2,8806.1,272.55
"36",2019-05-26,112.31,8729.87,268.5
"37",2019-05-25,102.87,8055,250.95
"38",2019-05-24,100.85,7990.1,249.58
"39",2019-05-23,88.74,7871.9,245.43
"40",2019-05-22,87.7,7620,243.59
"41",2019-05-21,90.97,7931.71,254.39
"42",2019-05-20,91.51,7990.6,251.55
"43",2019-05-19,94.88,8188.3,260.29
"44",2019-05-18,86.54,7260.1,233.52
"45",2019-05-17,90.4,7417.9,246.29
"46",2019-05-16,95.41,7859.7,263.99
"47",2019-05-15,101.8,8136.63,246.78
"48",2019-05-14,91.33,7951.9,216.5
"49",2019-05-13,87.17,7770.7,194.85
"50",2019-05-12,85.13,6983.4,188.25
"51",2019-05-11,87.05,7125.1,190.47
"52",2019-05-10,77.69,6438.7,174.26
"53",2019-05-09,75.21,6262,173.42
"54",2019-05-08,77.13,6201.5,177.09
"55",2019-05-07,80.8,6249.02,186.47
"56",2019-05-06,78.62,6027.9,181.6
"57",2019-05-05,79.23,6041.4,171.01
"58",2019-05-04,81.18,6098.1,170.95
"59",2019-05-03,82.68,6017,175.29
"60",2019-05-02,76.86,5723.8,169.25
"61",2019-05-01,76.88,5629.5,167.67
"62",2019-04-30,78.28,5599.52,170.5
"63",2019-04-29,70.94,5480.1,162.35
"64",2019-04-28,72.2,5486.8,163.13
"65",2019-04-27,73.84,5401.9,162.79
"66",2019-04-26,75.37,5410.9,160.95
"67",2019-04-25,71.75,5215.6,154.55
"68",2019-04-24,73.76,5479.6,166.7
"69",2019-04-23,74.38,5546.1,170.81
"70",2019-04-22,77.37,5417.8,172.27
"71",2019-04-21,77.61,5321.9,170.6
"72",2019-04-20,81.8,5340.04,174.27
"73",2019-04-19,82.98,5314.1,174.6
"74",2019-04-18,82.66,5310.86,175.13
"75",2019-04-17,79.67,5254.5,167.5
